NO_MUNICIPIO_PROVA,NOTA_MEDIA,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_REDACAO,QTD_CANDIDATOS,Ano,municipio_norm
VENDA NOVA DO IMIGRANTE,524.7942637091796,510.9670363524329,519.4514479359221,561.1684796044506,505.8360939431389,529.5552010210594,1623,2014,VENDA NOVA DO IMIGRANTE
VIANA,486.6474371257482,459.4020408163269,498.0869982025162,540.3806722689069,470.8409963985593,466.0632587859425,1670,2014,VIANA
VILA VELHA,526.5164853855488,510.9398138868994,529.8745064377687,571.474342342345,506.3965181660909,515.8773335348802,13993,2014,VILA VELHA
VITORIA,539.5547040943621,528.3013565098846,537.8689497716888,581.1974117325675,517.2256676456527,535.0409847832328,14695,2014,VITORIA
Afonso Cláudio,504.6755442541042,478.3258029978582,493.9533190578155,556.3488172043013,478.4293548387104,518.3460282916213,934,2015,AFONSO CLAUDIO
Alegre,513.1929888888884,488.2120072771371,500.35075803517265,563.0863387978145,487.46381299332114,528.5714285714286,1650,2015,ALEGRE
Anchieta,514.4396766023762,479.2671152720887,506.20806545879515,564.7072514619882,485.93391812865536,537.560975609756,1711,2015,ANCHIETA
Aracruz,519.9288774307595,494.1588616927152,510.1928360849055,566.569037780402,490.64353600944605,539.3943746259724,3394,2015,ARACRUZ
Baixo Guandu,505.5894275911884,474.8585048754062,497.8626218851575,553.564891304347,478.8338043478256,524.6122222222223,923,2015,BAIXO GUANDU
Barra de São Francisco,491.8785571260304,459.6588692579503,483.7143462897539,543.4815994338284,466.41804670913024,507.5792507204611,1415,2015,BARRA DE SAO FRANCISCO
Brejetuba,504.13557239057224,475.26565656565674,491.16127946127983,553.9361486486489,476.0570945945948,525.360824742268,297,2015,BREJETUBA
Cachoeiro de Itapemirim,518.2692122078358,479.63986531986507,506.6663862718713,562.205141604855,486.43252402630196,558.030866302865,5947,2015,CACHOEIRO DE ITAPEMIRIM
Cariacica,503.0953025340725,464.5013415482468,502.45999006457845,554.9408049412249,476.19701105908115,518.6248102802792,10076,2015,CARIACICA
Castelo,523.8832102272727,492.6426136363636,508.5635416666663,565.9953598484848,497.18882575757635,555.5257633587786,1056,2015,CASTELO
