municipio_norm,Nome_Municipio,RDPC_RAW,RDPC_INV,GINI,E_ANOSESTUDO,PERC_FUND_COMP,PERC_MED_COMP,T_FREQ1517_FUND,TX_ANALF,IDHM_R,IDHM_E,IDHM,CRIAN_VULN,NEET_VULN,EDU_Aplicacao_Total,EDU_Perc_Aplicacao,EDU_Alunos,EDU_Investimento_Aluno,EDU_ReceitaFUNDEB,NO_MUNICIPIO_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NOTA_MEDIA,QTD_CANDIDATOS,IVCAD,IVCAD_NC,IVCAD_DPI,IVCAD_DCA,IVCAD_TQA,IVCAD_DR,IVCAD_CH,IVCAD_COBERTURA
CONCEICAO DO CASTELO,Conceição do Castelo,35.9,19.550000000000004,0.51,8.08,31.83,20.91,6.21,12.1,0.685,0.541,0.67,45.77,7.65,15114152.77,32.45,1487,10164.19,9844674.22,Conceição do Castelo,478.4825396825397,484.8161764705882,508.3573529411765,492.6650793650794,583.5294117647059,507.26696078431377,77,0.2725957943925235,0.4142982866043612,0.1037819314641743,0.04190031152647976,0.6423816199376942,0.3140576323987539,0.1190996884735205,0.4937589008963727
DIVINO DE SAO LOURENCO,Divino de São Lourenço,53.3,2.1500000000000057,0.51,9.39,26.26,14.43,10.34,15.09,0.622,0.496,0.632,54.04,13.8,7210677.32,28.49,515,14001.32,3314742.88,Divino de São Lourenço,479.9944444444444,501.8555555555556,502.2944444444444,447.77777777777777,558.8888888888889,498.1622222222222,26,0.2773905511811024,0.3909590551181102,0.1254,0.04535433070866143,0.6542960629921256,0.2740157480314961,0.1744267716535434,0.5896124336022034
DOMINGOS MARTINS,Domingos Martins,33.22,22.230000000000004,0.48,8.52,27.33,16.28,3.09,10.98,0.68,0.528,0.669,49.13,5.44,42475641.08,34.34,5378,7898.04,35099561.28,Domingos Martins,500.0815789473684,524.7385281385282,524.182683982684,556.0561403508772,736.3636363636364,567.851544011544,262,0.2616860568383659,0.3955905861456483,0.09588232682060381,0.03809946714031971,0.6402193605683837,0.2108126110124334,0.1895888099467139,0.3471594759430766
DORES DO RIO PRETO,Dores do Rio Preto,45.9,9.550000000000004,0.49,10.04,28.65,16.07,7.86,17.59,0.635,0.542,0.654,43.24,16.53,8395789.14,26.57,788,10654.55,5871737.61,Dores do Rio Preto,475.8863636363636,482.74375,509.88958333333335,513.5818181818181,596.6666666666666,512.2766666666666,59,0.26558835546476,0.3729530132788559,0.1085577119509703,0.03411644535240042,0.655324821246169,0.2768130745658836,0.1458059244126661,0.6605518496058217
ECOPORANGA,Ecoporanga,49.63,5.82,0.49,9.16,31.49,21.25,8.54,20.41,0.631,0.562,0.662,39.52,16.75,25627504.13,33.98,2177,11771.94,14607615.92,Ecoporanga,456.6622807017544,463.7395161290322,485.625,476.45964912280704,491.2903225806452,472.567688172043,166,0.2657761432683087,0.3442526383114807,0.06307355292612721,0.0509114166933162,0.6705986568596132,0.3303485769107771,0.1354451551007354,0.5865769370680247
FUNDAO,Fundão,27.9,27.550000000000004,0.49,8.83,41.71,29.55,1.64,9.26,0.708,0.623,0.718,35.84,11.21,18325582.36,30.67,2747,6671.13,18352487.15,Fundão,463.7629032258064,502.78805970149256,515.0208955223881,478.6145161290322,591.3432835820895,509.2214925373135,94,0.2748817696414954,0.3790999237223494,0.08030625476735305,0.06773455377574361,0.630843249427919,0.3543096872616324,0.1369050343249427,0.6202398134784057
GOVERNADOR LINDENBERG,Governador Lindenberg,33.04,22.410000000000004,0.45,9.69,32.53,18.95,3.71,11.39,0.669,0.608,0.694,40.66,10.89,13051083.16,29.82,981,13303.86,6158933.17,Governador Lindenberg,488.755,493.9857142857143,513.9380952380952,478.035,599.5238095238095,513.3895238095238,47,0.2856065162907269,0.3713893065998329,0.0929707602339181,0.04444444444444446,0.6725806182121965,0.339390142021721,0.1928763575605683,0.5292942138250523
GUACUI,Guaçuí,36.61,18.840000000000003,0.52,8.97,42.13,28.75,3.33,12.84,0.691,0.595,0.703,37.81,11.14,18939283.88,26.19,4304,4400.39,33920575.7,Guaçuí,504.07851851851854,513.708843537415,521.2102040816326,536.5288888888889,621.3605442176871,536.0983673469389,158,0.277752747252748,0.3492342032967028,0.07329647435897421,0.06437728937728929,0.6687683150183198,0.388507326007326,0.1222994505494507,0.5997002520607672
GUARAPARI,Guarapari,26.55,28.9,0.58,8.91,52.76,37.87,2.05,6.59,0.746,0.626,0.731,29.22,10.32,78974690.86,28.38,20965,3766.98,135944303.55,Guarapari,503.0818401937046,517.2658139534883,530.8826744186047,535.2709443099274,627.7674418604652,541.1789957512553,1022,0.2450982450103231,0.417884807295253,0.08688394700619394,0.04125946317962853,0.5930331211286973,0.2362998967653132,0.09520844803854071,0.413786741111539
IBATIBA,Ibatiba,37.82,17.630000000000003,0.45,8.39,25.44,14.92,4.2,17.9,0.651,0.501,0.647,45.7,10.9,16040061.71,25.55,4156,3859.5,31158435.71,Ibatiba,532.3570552147239,543.5181286549708,547.219298245614,578.6024539877301,727.0175438596491,585.2849512670565,210,0.2690680537494582,0.4344681404421325,0.1242158647594277,0.06441265713047241,0.673811443433031,0.179778933680104,0.1377342869527526,0.4864854215918046
IBIRACU,Ibiraçu,24.71,30.74,0.56,8.74,42.79,26.72,2.06,8.08,0.733,0.625,0.726,33.24,8.4,9501148.59,24.83,1321,7192.39,9202195.1,Ibiraçu,454.32564102564106,466.04186046511626,496.4372093023256,483.5205128205128,529.3023255813954,478.3373643410853,62,0.2713039568345324,0.3773537170263789,0.08488788968824933,0.034052757793765,0.6373944844124695,0.3697541966426858,0.1243153477218227,0.7863174955216241
IBITIRAMA,Ibitirama,52.06,3.390000000000001,0.47,9.44,23.21,14.37,9.18,19.04,0.609,0.481,0.622,57.09,16.36,12739356.88,42.1,1423,8952.46,9763016.36,Ibitirama,451.8416666666667,473.956862745098,489.9745098039216,492.8729166666667,553.3333333333334,489.4575163398693,67,0.2984888779041029,0.3608512110726643,0.09947899159663853,0.0463667820069204,0.6814893722194761,0.3855659911023233,0.2171290163124071,0.803046218487395
